,NAME,INDUSTRY,2021-01-27,2021-01-28,2021-01-29,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-08,2021-02-09,2021-02-10,2021-02-18,2021-02-19,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03
600319.SH,*ST亚星,化工原料,84.2,83.25,81.97,77.42,78.53,79.94,84.05,87.36,89.39,88.08,88.65,87.41,86.15,84.38,86.21,87.0,86.1,87.05,87.72,88.13,85.36,84.66,82.12,82.82,79.55,79.32,80.5,78.47,81.43,83.0,83.43,80.89,79.12,76.09,75.16,82.74,82.66,80.58,79.63,77.55,73.34,73.52,73.03,71.36,72.77,74.7,73.21,73.21,71.62,70.0,63.4,65.66,64.99,68.1,70.46,68.1,67.66,67.58,62.27,57.51,65.76,70.41,69.59,71.38,73.34,70.02,60.08,59.67,69.25,71.98,71.95,70.54,68.94,71.46,71.36,77.6,74.08,78.14,81.81,81.69,79.35,79.96,80.84,80.53,81.3,78.71,78.27,74.21,72.41,73.75,76.11,65.53,69.89,61.01,56.59,55.64,65.43,73.9,69.71,76.24,75.93,79.81,78.22,73.75,64.12,50.89,49.91,42.72,25.61,21.09,14.69,11.94,9.58,13.05,17.03,19.7,26.33,30.95,40.35,40.97,46.65,53.02,58.44,62.83,61.62,58.72,47.47,40.38,34.52,39.61,38.38,49.32,53.07,50.35,42.56,42.82,53.25,49.09,47.8,49.09,55.15,52.43,57.59,56.13,65.3,64.89,65.89,62.37
002221.SZ,东华能源,石油贸易,84.18,82.89,85.33,88.26,88.67,89.85,89.57,85.18,86.0,86.05,85.0,85.92,89.57,92.4,92.63,91.75,92.09,90.08,91.22,90.52,91.14,90.37,91.42,92.45,90.11,91.01,91.19,90.88,91.06,90.44,91.11,91.27,90.68,91.22,92.63,90.39,89.57,89.29,88.75,88.13,88.75,88.44,89.24,89.62,88.16,88.47,88.44,87.16,85.36,84.9,85.59,85.8,84.79,84.38,83.41,81.35,81.53,85.92,84.97,82.02,81.53,79.86,82.61,82.76,85.18,83.1,81.45,83.12,82.89,81.84,81.12,76.16,76.09,77.16,61.19,58.62,60.34,65.04,68.87,70.87,67.81,76.16,75.78,74.72,74.78,71.77,75.52,76.5,79.22,79.37,79.76,78.47,74.21,68.3,67.94,71.72,72.08,74.13,70.05,72.33,71.41,70.02,69.2,70.54,69.79,64.32,54.17,56.13,56.23,60.06,62.45,64.86,65.09,66.43,55.25,57.41,58.21,58.36,49.47,49.91,47.73,53.38,44.28,34.5,37.04,29.59,33.86,52.2,48.88,47.8,54.2,49.17,44.05,27.64,22.35,29.98,29.39,35.68,33.24,42.61,29.13,36.86,47.16,46.62,56.43,48.65,55.23,51.99
300185.SZ,通裕重工,工程机械,84.15,87.11,87.34,84.25,84.56,83.77,85.36,87.57,85.85,87.11,87.03,88.57,90.6,91.22,88.36,88.59,78.76,82.53,79.68,62.42,58.67,54.2,59.52,73.11,73.59,35.83,12.61,4.52,13.64,6.91,1.36,3.49,2.65,5.88,9.53,4.29,5.27,6.96,11.71,10.35,13.41,9.76,6.45,6.4,5.39,5.21,5.14,6.86,10.02,8.14,8.04,6.58,10.04,12.0,11.92,10.15,10.66,10.27,11.07,11.74,11.41,13.31,17.06,22.99,20.01,21.96,21.99,22.63,25.17,23.22,24.07,22.45,11.02,14.46,12.92,13.18,18.78,12.18,13.15,12.66,13.92,12.82,14.77,14.8,16.8,18.91,14.05,11.79,8.5,7.4,9.3,9.48,10.45,11.56,15.57,14.26,10.4,8.12,8.09,9.79,11.28,10.89,11.48,11.92,13.31,14.15,16.49,20.76,26.71,30.62,30.41,35.32,32.21,34.34,36.86,49.76,49.01,52.12,56.36,51.79,48.86,45.54,54.05,54.53,54.97,61.34,78.86,70.77,67.35,66.3,69.77,64.4,59.83,54.28,56.18,54.66,51.43,57.62,62.57,65.3,63.88,57.46,53.35,52.79,38.43,44.98,56.33,53.28
002739.SZ,万达电影,影视音像,84.13,85.46,89.65,91.99,91.86,90.86,89.39,84.2,87.28,87.62,87.49,86.33,84.9,80.38,79.84,77.7,78.17,75.19,79.17,77.29,79.35,78.58,75.01,70.41,72.18,72.05,71.56,75.88,79.84,81.45,79.09,79.37,78.91,81.17,77.7,76.03,76.62,76.68,72.23,74.21,72.72,73.29,70.36,73.67,77.47,77.65,78.19,74.03,76.96,76.88,76.86,77.27,78.94,79.14,80.81,80.89,80.25,82.53,80.66,84.56,78.94,79.81,72.62,68.02,59.41,45.39,49.24,49.7,48.29,44.46,43.13,45.98,40.92,44.82,50.5,45.11,38.07,40.74,38.27,38.2,38.81,39.17,43.46,44.44,44.49,47.06,39.25,34.5,39.74,45.75,32.93,29.1,32.47,22.3,30.46,34.68,33.26,25.2,20.7,25.1,32.55,42.36,36.78,21.29,22.09,17.75,20.83,20.14,15.98,20.22,14.92,14.15,17.75,14.95,10.99,10.79,14.31,13.87,12.0,9.68,6.78,4.8,2.77,1.31,1.54,1.59,1.98,2.54,2.11,2.0,1.7,2.52,3.75,4.42,4.73,5.83,5.42,6.83,6.81,7.81,8.4,9.74,9.63,11.71,9.71,10.84,10.53,10.43
600810.SH,神马股份,化纤,84.1,83.89,86.64,89.88,89.44,88.18,89.03,87.98,89.6,89.67,89.65,89.37,76.01,94.25,95.48,95.84,96.48,96.92,97.66,96.99,96.97,97.12,97.25,97.71,97.48,96.69,97.15,96.92,97.77,97.46,97.82,98.02,97.64,97.82,97.43,97.05,96.4,96.02,95.32,95.48,95.2,95.32,95.4,95.45,96.66,95.61,94.97,93.27,92.63,93.12,92.86,93.5,93.55,93.53,94.71,95.07,95.63,95.12,95.22,95.4,95.32,94.61,95.38,95.07,93.55,92.27,88.18,83.02,80.02,75.78,75.91,61.52,58.26,66.07,65.84,68.38,74.34,74.67,73.21,74.52,78.73,79.66,79.81,75.83,77.29,77.42,86.33,84.61,85.95,86.51,87.67,85.69,85.28,84.77,86.67,86.44,89.52,88.34,83.35,84.31,87.11,85.1,81.61,82.51,84.87,85.49,86.26,86.64,88.67,90.42,87.46,89.11,87.9,85.23,83.33,82.87,84.41,81.56,81.94,82.25,70.92,77.58,69.87,62.78,52.32,51.09,46.34,53.81,51.01,49.27,63.6,61.93,60.21,42.49,44.7,52.38,46.29,55.82,42.87,57.36,54.66,60.42,61.88,64.06,70.0,70.33,75.78,71.8
002410.SZ,广联达,软件服务,84.07,82.46,84.0,85.26,86.33,88.72,88.47,89.8,89.83,90.11,91.5,89.78,89.13,85.85,84.77,79.5,78.65,79.22,70.64,64.27,71.23,67.71,59.29,45.34,42.85,63.29,64.86,56.59,38.79,35.14,43.87,48.42,44.08,49.96,49.19,52.94,50.27,57.18,60.83,62.91,58.98,58.44,53.61,58.28,44.41,43.87,39.43,35.14,44.26,48.14,47.14,39.79,44.28,60.78,57.72,57.44,59.39,51.99,64.01,66.58,66.61,68.33,59.7,60.83,54.12,57.18,55.95,54.59,56.82,66.99,67.4,73.41,75.13,72.8,80.02,84.28,85.64,79.48,80.61,74.13,75.37,75.52,69.97,71.41,67.17,60.85,69.79,71.36,71.72,73.65,66.38,69.71,57.77,47.55,42.95,45.95,39.58,36.91,36.84,44.46,36.04,24.22,21.91,15.72,17.52,23.89,22.48,22.5,23.32,22.6,29.49,32.31,24.25,18.11,16.8,11.76,14.36,11.87,9.3,12.05,11.07,13.0,10.4,11.3,13.33,12.33,10.74,10.3,11.61,9.66,7.78,10.35,11.61,15.05,14.56,17.44,19.45,16.8,25.69,33.98,36.35,33.75,32.16,38.51,42.31,25.35,33.83,43.33
601566.SH,九牧王,服饰,84.05,84.82,85.64,86.28,85.13,83.35,77.81,77.68,80.07,79.76,80.89,82.3,83.07,81.45,81.53,81.94,83.05,81.61,82.4,82.15,79.17,76.88,74.06,78.63,77.88,67.56,64.47,47.34,28.92,51.17,51.4,45.75,53.15,62.63,74.18,72.08,68.2,69.0,58.23,47.68,44.52,51.48,53.94,54.1,54.33,53.1,52.71,45.9,39.33,40.77,45.88,40.48,46.13,49.94,51.86,47.98,49.17,58.7,54.12,59.44,64.32,64.27,67.22,71.05,71.23,68.87,66.5,66.14,65.4,66.04,64.04,55.28,45.49,49.94,35.55,32.91,27.28,31.42,32.62,44.03,46.75,58.13,56.54,57.36,62.68,59.05,57.56,64.14,70.49,75.6,64.35,59.34,71.31,70.77,84.38,88.52,86.1,85.51,84.82,81.84,87.75,93.04,91.22,94.4,93.89,93.06,92.5,92.35,93.86,92.01,91.32,92.42,91.73,93.09,91.65,91.88,91.06,90.21,90.01,88.72,90.5,88.75,86.0,85.15,85.87,84.38,87.77,86.44,86.05,86.9,84.79,85.72,84.41,86.62,88.93,85.38,84.38,83.59,84.84,87.59,84.77,87.9,87.57,87.11,83.89,86.23,85.97,85.38
300297.SZ,蓝盾股份,软件服务,84.02,85.54,82.25,84.79,85.56,74.49,75.19,72.95,71.62,73.44,74.26,79.24,83.1,83.87,82.38,84.43,80.32,80.43,75.31,68.82,71.85,67.38,42.26,51.99,44.31,13.41,15.18,29.1,56.77,49.42,33.8,27.02,24.22,32.88,33.52,36.73,47.57,41.3,47.32,24.84,28.46,21.35,27.15,24.81,19.45,16.31,17.78,19.5,8.45,2.44,2.11,0.51,1.0,0.74,1.44,1.16,1.1,1.21,0.54,0.62,1.08,1.41,1.23,1.95,2.57,1.88,2.95,3.03,3.01,2.39,2.95,2.49,2.08,2.16,2.83,2.75,2.77,2.65,2.98,3.9,3.44,4.32,6.09,4.78,5.27,6.22,8.58,10.81,15.72,15.87,33.8,40.74,37.55,30.52,24.56,23.66,18.21,16.29,21.86,27.84,23.38,14.72,15.9,33.83,37.37,25.12,44.23,32.96,69.56,77.14,73.8,71.67,67.43,81.89,54.17,50.09,53.56,53.45,54.66,52.61,45.34,43.1,49.01,10.87,15.72,14.95,13.72,11.05,15.05,17.44,16.59,15.77,11.66,9.68,13.02,8.84,8.3,7.68,9.68,10.15,9.84,9.2,6.88,7.17,8.45,9.61,7.99,9.45
600243.SH,青海华鼎,机床制造,84.0,84.07,82.89,82.17,82.07,82.82,79.42,76.03,78.17,79.48,81.99,79.71,80.38,81.66,80.68,81.66,81.79,83.28,81.86,82.33,81.94,81.45,84.66,84.64,83.97,81.51,79.3,78.37,79.86,80.25,78.86,78.78,79.81,79.06,79.53,81.89,80.79,80.09,78.19,75.7,75.67,75.44,77.29,78.14,80.55,79.32,79.53,81.48,81.61,80.63,81.86,84.02,84.46,86.9,85.87,87.82,89.31,89.65,88.34,90.65,91.88,92.83,93.86,67.45,90.65,93.99,95.76,96.22,95.63,95.79,96.63,95.84,96.61,96.22,96.4,95.2,95.27,94.89,95.35,94.25,95.27,95.4,94.22,94.94,93.91,95.12,94.68,94.58,94.01,93.14,94.32,95.84,95.89,95.84,95.32,95.79,95.07,95.15,93.89,91.47,91.57,92.47,92.24,91.86,92.45,93.22,92.99,92.14,91.29,90.86,87.85,88.06,86.85,84.74,83.53,81.33,84.82,85.82,87.7,84.51,87.39,85.38,82.58,80.84,79.78,76.86,76.57,78.63,79.96,79.3,76.27,76.88,75.39,75.62,77.04,77.24,74.24,74.85,82.56,87.08,85.67,89.85,91.45,93.3,94.84,96.84,97.28,96.63
000690.SZ,宝新能源,火力发电,83.97,84.72,83.17,85.69,79.53,74.83,66.22,59.13,56.15,58.85,50.48,57.39,50.89,58.23,58.0,55.87,54.56,61.93,63.06,61.39,63.94,53.2,57.03,63.14,63.58,63.96,63.99,66.48,62.7,69.15,67.74,70.0,72.49,78.06,72.23,78.58,72.13,76.5,76.83,75.85,75.93,72.36,72.41,66.43,66.09,62.78,49.09,45.93,41.87,33.88,32.73,27.1,26.74,21.45,18.34,19.8,20.47,20.83,18.01,17.39,21.19,18.31,17.93,20.42,22.63,22.5,19.8,19.45,18.14,23.48,18.06,17.47,18.47,18.19,16.7,16.26,14.2,13.9,13.1,15.1,12.77,17.39,16.18,15.98,14.67,12.64,12.41,10.12,12.74,12.33,12.41,10.63,9.58,8.73,9.14,10.15,7.17,6.01,5.39,4.6,4.68,5.55,6.27,4.83,5.19,5.5,5.57,5.7,6.24,8.71,8.09,9.2,7.73,7.96,7.35,7.12,7.6,6.94,5.65,5.19,5.88,4.37,5.73,4.65,6.14,9.66,15.62,20.06,24.53,22.25,24.53,22.01,24.3,20.65,22.04,23.4,27.82,23.02,24.38,21.11,23.27,28.08,29.64,21.78,24.63,25.97,30.54,32.67
603618.SH,杭电股份,电气设备,83.95,83.74,84.74,83.74,84.74,81.61,81.56,75.91,73.95,71.8,72.87,73.8,74.21,73.39,74.11,76.19,69.97,71.67,71.46,74.62,74.26,76.8,78.35,81.86,82.17,81.56,83.89,81.58,83.51,83.25,82.2,81.76,83.71,85.62,85.82,84.77,79.48,80.02,79.96,79.89,80.71,79.17,76.8,77.22,78.14,77.16,76.55,79.01,76.24,75.49,77.04,77.29,77.14,75.73,76.44,69.82,71.44,82.04,81.02,80.63,77.73,78.86,79.09,77.42,76.27,81.17,80.17,80.27,77.06,76.65,74.21,74.47,71.44,73.34,76.14,69.77,72.05,67.15,65.19,68.43,70.36,72.1,73.47,75.42,73.03,77.45,78.22,78.68,80.14,80.91,81.12,80.14,84.18,82.84,81.99,80.61,78.96,72.77,72.41,67.4,69.3,69.48,72.16,57.72,53.28,52.86,45.13,58.82,33.26,37.55,26.71,37.81,32.7,33.21,36.89,38.61,49.99,28.85,23.73,31.42,19.98,19.86,18.75,21.55,18.26,21.19,21.81,31.83,33.42,34.04,38.74,39.66,42.92,44.88,45.52,47.06,51.5,52.43,45.8,45.31,46.31,44.16,43.49,42.59,41.3,35.42,40.12,39.48
300693.SZ,盛弘股份,电气设备,83.92,86.59,89.37,90.16,92.7,92.01,91.7,90.68,91.04,91.96,91.86,92.22,92.17,92.73,91.75,92.78,93.04,91.16,93.73,93.17,93.96,93.6,92.96,93.27,90.78,90.19,90.06,89.65,92.17,90.19,91.39,91.39,91.78,90.19,88.59,84.82,86.31,87.05,85.85,84.84,84.74,85.36,86.49,84.56,77.99,74.21,57.08,70.54,62.75,66.2,68.89,78.96,77.52,73.16,64.27,75.52,71.2,75.65,70.43,59.72,70.72,58.9,43.15,55.1,56.15,61.08,67.71,61.85,60.62,66.53,64.94,68.61,74.47,59.08,61.44,50.01,47.93,58.16,63.58,73.08,70.95,12.1,10.2,11.51,13.31,9.63,9.2,7.73,7.6,7.5,5.47,5.68,6.73,10.4,9.99,15.54,11.53,12.69,11.92,6.96,3.7,2.21,3.16,3.19,4.7,7.42,10.48,10.12,12.25,19.09,20.78,8.78,16.57,17.6,30.85,28.54,41.28,49.04,44.64,42.74,23.22,51.4,69.51,81.51,82.33,86.1,84.23,88.44,90.29,86.8,92.94,94.89,93.73,93.71,92.42,89.6,88.39,92.32,88.08,85.1,87.18,85.49,76.37,79.81,81.76,81.15,80.94,76.37
300244.SZ,迪安诊断,医疗保健,83.89,82.58,83.71,81.81,80.73,75.24,80.84,85.36,82.51,80.81,83.33,67.63,47.73,42.85,40.61,40.92,41.84,40.92,37.61,29.51,37.19,31.44,34.09,31.6,24.53,29.8,34.06,35.29,27.05,21.65,17.67,22.42,28.26,26.15,27.02,30.77,33.19,35.58,38.61,38.48,41.18,42.44,43.95,43.64,46.13,37.14,30.62,25.84,31.47,36.91,43.03,38.2,36.27,45.75,45.39,41.56,44.95,51.4,62.24,56.87,54.61,68.92,72.18,70.07,74.93,74.54,81.76,80.81,81.53,83.0,84.95,84.51,86.62,84.46,82.74,85.8,87.52,86.75,84.15,86.18,85.28,85.77,80.79,80.07,78.53,76.44,76.27,73.47,72.33,72.26,68.51,68.4,72.44,67.79,65.35,57.69,61.52,71.1,67.35,70.36,74.39,70.49,63.34,59.39,55.2,45.65,34.42,29.93,15.26,16.13,16.54,10.99,13.49,19.37,23.58,21.4,11.41,5.01,3.85,6.4,15.08,18.49,18.57,19.91,26.77,25.69,18.55,14.59,16.21,15.59,13.13,20.55,22.45,28.9,29.13,30.13,33.03,32.96,29.05,32.21,32.8,31.95,33.98,28.36,32.08,26.69,25.38,26.71
601808.SH,中海油服,石油开采,83.87,81.92,81.71,85.2,88.49,89.26,90.06,90.86,90.78,92.94,92.58,93.3,92.35,94.5,94.79,93.48,93.32,90.7,90.83,90.11,90.98,91.96,93.17,95.58,93.81,93.45,93.89,93.81,94.01,92.14,92.37,93.09,89.57,88.54,89.13,86.85,90.42,90.55,89.73,90.42,88.88,88.39,88.18,87.9,87.85,87.88,88.21,87.88,87.26,86.82,87.72,87.52,87.08,87.0,85.23,86.0,86.36,89.06,89.11,92.53,88.34,87.23,89.19,90.32,92.35,88.93,89.42,90.98,91.88,91.19,90.88,88.9,86.05,83.25,76.09,73.8,68.3,71.72,69.54,71.51,76.14,81.61,76.7,75.47,79.86,79.89,84.25,80.73,78.96,81.63,86.05,81.02,72.28,71.95,77.27,78.5,74.29,72.16,68.56,72.95,70.31,72.87,75.6,68.23,74.67,61.52,43.85,39.3,34.19,33.68,18.65,20.81,21.01,16.41,16.13,16.23,16.54,17.06,16.54,19.03,16.57,17.8,17.36,12.54,9.58,9.48,6.96,6.22,6.22,3.85,4.98,4.44,5.65,3.42,3.03,5.03,4.7,6.78,7.27,10.92,10.43,10.79,10.92,10.33,16.67,17.21,15.59,14.9
300762.SZ,上海瀚讯,通信设备,83.84,86.44,84.41,86.98,85.59,84.48,84.97,82.51,82.74,84.31,80.81,77.78,78.5,79.24,80.94,80.07,74.75,73.67,75.65,74.57,65.12,61.65,60.44,64.29,57.08,59.21,61.88,66.45,66.07,63.91,64.32,64.99,68.38,66.32,66.58,64.12,65.5,65.32,69.43,71.95,66.2,71.15,74.18,75.06,76.21,76.19,75.55,80.32,82.92,83.3,83.28,83.28,83.33,85.46,85.85,86.75,87.23,84.82,83.79,86.46,82.84,84.28,83.17,80.22,62.78,55.46,59.93,60.57,58.36,57.28,57.64,65.07,56.28,57.18,60.88,59.26,56.67,61.78,57.82,62.42,64.14,59.39,3.9,3.47,3.96,3.72,3.57,3.47,3.39,3.83,3.19,3.29,3.19,2.9,3.75,6.52,5.47,4.06,4.83,5.42,5.34,3.11,2.62,0.87,0.49,0.69,0.59,0.44,0.41,0.39,0.54,0.51,0.51,0.54,0.74,0.44,0.64,0.62,2.47,3.88,3.39,3.67,6.6,4.93,4.19,5.03,6.52,8.01,6.6,6.63,6.7,5.99,5.47,5.81,4.7,6.7,8.09,10.33,10.56,7.6,7.14,8.32,9.38,11.46,13.59,8.86,9.43,9.4
603826.SH,坤彩科技,染料涂料,83.82,85.0,86.95,87.41,89.39,90.19,91.52,92.55,92.7,91.99,92.14,92.63,92.24,92.6,90.91,91.65,88.49,88.49,84.43,84.92,87.13,90.55,90.65,90.14,85.97,89.24,90.37,91.45,90.24,89.11,88.98,90.96,88.03,86.75,90.08,89.39,89.7,88.9,89.55,91.45,91.83,89.62,88.24,91.88,91.34,92.06,92.4,91.99,92.96,87.98,83.77,81.48,79.73,81.4,85.31,86.59,78.5,77.83,78.01,79.5,79.84,79.09,77.27,77.22,72.75,69.23,70.0,70.77,72.39,72.1,67.25,65.78,65.07,69.97,77.58,64.68,59.16,71.28,64.91,66.91,61.62,71.67,69.51,67.69,67.43,59.21,61.65,59.88,54.3,53.76,60.06,60.83,53.89,56.82,56.82,64.06,62.52,67.56,68.12,66.14,65.09,63.47,63.11,60.47,52.76,54.1,53.22,53.58,56.1,50.89,49.45,53.45,56.43,55.12,54.69,58.39,55.77,54.59,61.01,64.12,68.3,66.07,57.33,54.51,51.73,46.72,36.96,38.12,35.35,39.2,33.93,35.32,40.64,39.89,42.13,41.64,41.66,40.46,53.97,51.99,44.7,39.02,40.3,55.9,64.06,52.94,46.06,38.17
603236.SH,移远通信,通信设备,83.79,75.16,77.19,83.51,88.85,90.24,89.96,91.06,92.42,91.39,90.52,90.5,89.19,87.44,89.21,88.77,87.9,87.18,85.97,89.03,88.95,87.03,83.38,81.48,80.45,86.33,88.98,89.16,82.22,81.4,82.97,83.28,83.43,82.79,81.25,78.29,80.07,77.63,75.73,78.45,78.37,80.89,82.2,83.61,81.66,82.61,81.84,81.2,86.31,86.87,87.34,85.85,88.7,82.35,74.06,65.68,72.59,76.24,69.33,70.72,61.16,64.06,55.43,51.25,40.64,43.95,47.83,47.75,43.77,45.11,39.66,44.88,43.13,38.22,39.53,43.67,48.32,54.28,59.88,63.63,66.56,75.19,74.6,72.69,75.03,76.42,72.36,70.92,23.53,21.24,17.57,17.75,20.01,24.66,25.3,34.04,40.66,32.42,38.45,29.54,30.75,30.36,27.59,23.89,23.43,19.8,17.98,16.54,17.13,22.04,20.52,23.76,27.92,17.0,15.8,11.35,7.3,6.37,5.27,4.39,2.8,6.37,5.99,2.75,1.44,2.13,2.05,2.72,1.67,1.75,1.98,2.75,3.44,4.57,3.83,4.34,4.14,3.67,4.91,3.78,5.29,6.14,7.06,7.14,6.14,5.57,5.68,4.55
300289.SZ,利德曼,生物制药,83.77,83.48,75.57,69.46,70.79,68.97,65.86,65.09,62.81,65.55,71.33,70.07,72.03,70.67,68.92,64.01,59.03,61.14,61.67,60.65,80.2,76.98,68.25,58.85,54.69,63.01,50.6,53.4,61.42,55.02,46.98,53.48,58.13,43.59,37.37,42.1,22.71,25.04,26.95,14.36,16.8,15.67,16.88,10.3,10.07,6.76,8.35,11.82,12.33,16.75,22.48,24.69,20.32,26.38,29.15,25.87,25.12,22.99,27.59,29.54,24.3,36.6,38.94,33.39,35.29,39.58,42.72,54.33,49.91,64.17,61.8,61.75,58.87,59.36,61.14,59.8,62.98,64.63,60.21,70.41,61.03,59.08,51.55,55.0,52.89,52.3,58.36,47.03,50.17,52.43,55.23,55.1,53.63,60.36,57.23,39.12,45.24,54.28,61.11,61.65,61.49,72.51,71.18,70.31,69.95,62.27,66.63,65.48,67.07,70.74,73.88,70.18,60.08,63.68,73.57,69.97,63.04,27.38,12.79,16.08,21.96,23.58,65.48,74.39,82.79,79.04,77.83,74.88,76.57,71.23,64.71,70.36,66.3,70.92,68.94,68.53,69.48,72.75,65.09,63.58,42.56,45.7,53.92,55.69,55.84,45.98,48.01,57.82
002726.SZ,龙大肉食,食品,83.74,81.74,82.33,84.05,80.97,85.02,77.24,80.79,75.34,73.18,75.73,75.31,75.11,77.09,76.29,71.2,65.07,44.26,27.13,20.09,24.69,24.43,27.0,33.57,36.86,44.08,52.12,63.5,68.79,66.81,70.25,69.56,69.51,70.54,74.88,78.06,78.89,78.01,78.89,71.56,64.17,63.91,54.64,57.28,58.95,56.92,59.72,68.07,69.71,65.68,69.0,62.45,63.76,70.15,68.69,70.69,77.73,79.22,80.07,78.01,77.88,63.63,64.09,68.89,71.59,74.65,70.72,73.21,70.49,46.75,49.91,51.61,45.57,45.0,41.23,51.07,58.87,51.55,48.27,48.75,50.12,47.91,44.28,41.64,30.9,27.64,28.87,28.85,24.61,26.18,19.96,19.03,19.68,17.36,17.18,12.41,15.1,18.37,28.9,17.29,12.72,14.49,15.8,11.07,10.58,11.87,8.94,8.94,7.99,8.5,7.53,8.58,10.51,8.86,10.17,10.17,9.27,7.27,7.68,7.27,10.66,9.25,7.99,8.35,9.07,8.4,8.37,8.63,13.77,14.54,13.23,13.36,13.87,12.56,13.25,14.41,18.14,20.91,21.63,23.43,21.86,20.01,20.99,24.84,31.42,35.76,29.8,37.84
603985.SH,恒润股份,机械基件,83.71,83.64,81.81,80.61,77.5,75.49,71.74,74.96,65.09,69.28,72.44,67.89,71.72,68.33,74.24,68.94,70.9,69.3,75.16,71.44,73.18,74.34,77.63,79.66,77.09,73.57,72.39,69.28,67.81,52.32,45.77,44.57,47.7,34.09,27.1,43.95,53.45,60.83,62.14,64.12,64.6,59.8,53.07,47.16,51.76,55.02,38.35,37.27,41.82,45.98,42.41,49.5,50.24,49.73,44.18,42.97,49.7,49.5,56.95,49.83,54.69,54.82,53.76,54.07,34.96,26.18,27.61,23.61,23.25,23.66,18.62,17.98,20.76,21.83,18.16,20.37,19.27,24.92,23.84,16.67,10.69,11.87,11.97,10.1,5.93,4.8,5.37,6.11,6.76,6.32,6.99,5.11,7.14,6.88,1.1,0.95,0.8,0.69,0.54,0.39,0.69,0.57,0.67,0.51,0.54,0.64,0.62,0.95,0.95,0.87,1.18,1.67,1.57,1.28,0.69,48.11,47.6,47.55,46.98,47.68,1.44,1.95,2.98,4.75,5.47,5.45,8.17,14.13,20.34,20.29,16.8,13.69,11.33,9.53,7.99,8.94,10.74,12.74,16.0,16.72,14.8,13.05,15.08,10.61,10.74,9.25,14.62,18.88
000927.SZ,中国铁物,批发业,83.69,84.23,83.23,81.61,81.4,76.06,66.66,66.22,64.5,69.56,72.95,75.11,72.31,72.51,68.17,68.69,70.13,70.85,71.31,67.89,68.05,66.94,65.12,66.97,66.81,78.71,80.02,74.67,71.77,74.39,78.96,75.31,78.58,73.93,75.52,75.8,64.71,65.5,60.29,66.58,63.83,70.72,74.11,76.7,78.76,75.49,77.52,74.67,76.78,76.29,79.78,76.91,79.09,75.88,74.78,74.98,75.47,75.8,71.13,73.39,71.67,67.97,63.29,65.63,64.47,63.11,63.01,67.04,61.65,62.32,59.0,57.23,52.84,48.39,45.39,43.33,48.55,47.62,45.88,38.33,42.44,42.67,40.23,36.99,31.39,26.56,30.67,29.33,46.93,57.82,44.39,32.78,32.98,22.12,15.93,16.59,15.21,8.43,5.29,4.11,3.96,3.08,59.23,3.7,10.66,4.19,1.16,3.54,2.77,4.7,6.11,4.5,6.37,9.04,9.38,11.02,11.2,13.51,13.51,16.57,12.92,12.43,14.87,14.62,15.8,18.19,19.91,20.32,23.35,21.37,19.86,21.27,21.22,19.6,22.81,21.19,24.48,21.45,22.22,23.53,23.91,27.05,28.2,29.28,24.69,15.26,18.01,17.96
