,NAME,INDUSTRY,2021/6/30,2021/7/1,2021/7/2,2021/7/5,2021/7/6,2021/7/7,2021/7/8,2021/7/9,2021/7/12,2021/7/13,2021/7/14,2021/7/15,2021/7/16,2021/7/19,2021/7/20,2021/7/21,2021/7/22,2021/7/23,2021/7/26,2021/7/27,2021/7/28,2021/7/29,2021/7/30,2021/8/2,2021/8/3,2021/8/4,2021/8/5,2021/8/6,2021/8/9,2021/8/10
600171.SH,上海贝岭,半导体,99.71,99.63,99.07,98.7,98.44,96.42,97.01,98.46,98.91,98.22,98.97,98.12,97.09,90.49,94.33,94.86,91.36,94.99,91.18,94.17,88.63,91.94,90.51,77.72,51.64,57.9,55.03,19.53,7.95,20.32
600375.SH,汉马科技,汽车整车,99.68,99.81,99.84,99.74,99.68,99.63,99.63,99.68,99.55,99.66,99.52,99.44,98.91,97.14,94.41,87.68,69.4,26.42,64.52,9.67,31.66,9.04,5.38,6.65,11.55,17.06,11.9,37.89,19.87,3.97
002356.SZ,*ST赫美,其他商业,99.66,99.79,99.52,99.21,98.89,97.99,98.44,99.26,98.86,99.05,99.1,99.07,98.38,98.7,98.57,98.38,98.09,99.23,99.52,99.71,99.74,61.39,58.21,57.07,56.23,55.3,99.52,99.05,99.34,99.28
300458.SZ,全志科技,元器件,99.63,99.5,99.34,98.57,97.64,98.01,99.18,98.97,98.94,97.54,96.63,87.55,83.6,86.09,89.8,72.15,95.52,96.1,95.55,94.22,86.75,91.79,84.26,48.01,36.33,30.66,21.75,17.73,7.37,12.93
300409.SZ,道氏技术,陶瓷,99.6,99.34,99.28,99.58,99.58,99.5,99.66,99.74,99.84,99.71,99.81,99.87,99.81,99.71,99.76,99.52,98.2,97.75,90.7,91.12,85.53,88.08,83.55,64.89,64.68,90.89,85.67,84.37,18.36,19.1
600291.SH,*ST西水,保险,99.58,99.1,99.02,98.94,98.7,97.4,94.28,94.2,94.57,87.12,66.14,69.9,66.35,69.34,83.49,85.29,62.45,60.57,31.4,9.94,3.55,9.91,3.31,2.68,3.34,3.58,13.65,23.48,29.09,63.96
600771.SH,广誉远,中成药,99.55,99.89,99.79,99.28,99.36,99.52,98.75,98.75,99.05,99.5,99.63,99.39,99.36,99.52,99.52,99.23,98.22,98.12,97.62,90.59,79.04,50.87,12.27,48.17,49.1,41.92,55.43,69.82,79.81,83.92
000982.SZ,中银绒业,纺织,99.52,99.05,98.68,98.81,55.8,98.91,97.93,96.29,86.06,94.3,84.31,67.91,55.17,22.47,6.04,2.84,14.44,27.72,14.84,32.35,57.18,72.05,69.61,70.99,59.09,33.17,27.56,32.35,33.47,23.95
603098.SH,森特股份,装修装饰,99.5,99.58,99.39,99.31,98.28,98.22,98.38,98.86,98.54,99.26,98.81,98.99,99.13,99.58,99.26,98.15,97.3,94.78,86.38,81.96,90.75,91.36,91.94,88.53,92.0,93.27,95.73,92.9,93.67,78.96
002326.SZ,永太科技,化工原料,99.47,99.23,99.42,98.97,97.51,98.44,98.28,97.91,96.85,98.49,98.22,97.67,98.3,94.99,92.4,95.12,97.56,95.84,94.52,91.84,74.88,83.81,77.56,86.49,96.05,97.01,97.75,96.95,92.29,94.28
002892.SZ,科力尔,电气设备,99.44,89.4,92.13,85.77,80.02,79.49,33.68,31.35,25.3,42.1,37.44,72.79,63.3,70.77,67.36,75.49,71.07,50.85,25.46,4.43,0.95,73.4,66.72,86.94,93.38,94.22,95.63,88.39,76.82,69.42
603026.SH,石大胜华,化工原料,99.42,99.68,99.13,98.86,99.55,99.84,99.89,99.89,99.87,99.89,99.89,99.74,99.31,99.34,99.05,99.13,98.97,98.54,97.43,97.46,94.36,93.22,92.05,87.89,87.07,85.51,65.08,82.46,79.84,19.42
300500.SZ,启迪设计,建筑工程,99.39,98.81,99.58,99.42,99.31,99.26,99.28,99.31,99.5,99.74,99.84,99.95,99.95,99.95,99.95,99.95,99.39,98.62,96.08,95.07,90.09,97.22,85.93,89.03,98.36,97.51,96.58,94.97,86.49,37.65
300663.SZ,科蓝软件,软件服务,99.36,99.6,99.63,99.6,99.47,98.99,98.89,94.22,77.05,16.85,65.0,0.26,0.19,0.03,0.03,0.05,0.05,0.16,0.16,0.4,0.19,0.29,0.21,0.08,0.03,0.13,0.11,0.24,0.0,0.0
000422.SZ,湖北宜化,农药化肥,99.34,99.31,99.23,98.83,98.91,97.85,97.11,56.17,98.46,96.21,95.73,90.73,98.01,97.91,97.99,98.49,98.15,97.83,92.98,86.25,87.92,86.7,72.81,77.19,59.14,68.34,82.03,69.02,44.09,38.29
000752.SZ,*ST西发,啤酒,99.31,98.86,98.15,98.2,98.57,98.15,98.62,97.27,92.4,88.61,68.79,50.42,32.46,7.9,4.56,1.67,1.4,7.47,7.68,4.66,5.78,9.3,5.99,4.9,4.05,3.52,2.62,6.17,24.43,40.22
300218.SZ,安利股份,塑料,99.28,99.36,99.31,99.84,99.89,99.87,99.92,99.95,99.95,99.97,99.95,99.89,99.92,99.87,99.87,99.71,98.94,95.02,96.53,95.12,95.36,90.57,90.22,67.01,59.88,57.05,14.12,8.37,8.16,8.96
000707.SZ,*ST双环,化工原料,99.26,99.21,98.7,98.41,98.68,98.78,98.01,97.99,97.91,97.64,98.57,97.83,98.78,99.18,99.31,99.1,99.02,98.86,98.83,98.89,98.36,94.65,93.8,91.57,84.29,62.24,74.67,79.23,81.72,85.27
300354.SZ,东华测试,电器仪表,99.23,98.94,98.73,99.1,99.13,99.05,99.23,99.79,99.92,99.79,99.34,99.5,99.66,99.44,99.74,99.81,99.58,99.18,95.2,97.91,93.61,95.76,95.95,95.6,97.72,98.09,96.18,70.08,50.9,54.43
600365.SH,ST通葡,红黄酒,99.21,99.55,99.44,98.99,99.07,98.83,99.31,98.65,96.29,90.91,88.16,76.71,86.2,70.14,70.99,39.08,15.13,7.5,3.44,2.09,1.11,0.5,0.26,0.34,0.61,0.93,0.58,1.19,3.07,15.16
603595.SH,东尼电子,元器件,99.18,98.44,97.38,95.42,94.83,95.44,97.35,93.32,95.2,97.09,95.76,92.1,74.43,76.63,85.29,81.77,54.08,13.59,4.16,15.24,14.6,53.95,66.83,66.91,73.58,84.61,79.89,88.18,86.72,91.44
603958.SH,哈森股份,服饰,99.15,99.47,98.75,97.4,97.24,96.03,94.2,95.34,95.79,95.18,95.18,90.67,75.7,80.18,83.65,85.08,86.46,61.37,32.8,9.01,2.52,1.01,1.88,4.98,9.14,8.16,11.05,7.63,7.6,8.53
002147.SZ,*ST新光,区域地产,99.13,99.42,99.55,99.05,98.52,98.12,98.91,98.83,98.75,99.34,98.2,98.15,98.73,98.86,97.85,97.4,96.61,94.59,97.03,96.87,94.91,90.67,90.25,90.12,92.42,87.97,84.15,83.94,86.33,86.49
300479.SZ,神思电子,软件服务,99.1,99.87,99.95,99.89,99.92,99.92,99.84,99.76,99.63,99.47,98.83,98.97,98.44,99.15,98.49,98.36,98.86,98.78,94.91,77.58,56.07,6.09,1.06,1.09,2.28,0.56,0.98,0.66,0.64,0.64
300430.SZ,诚益通,电器仪表,99.07,98.89,98.44,95.23,95.73,96.1,96.4,96.05,95.34,96.53,96.21,93.11,92.95,88.16,68.52,41.65,46.71,5.91,11.74,12.24,5.14,9.14,14.26,17.46,26.47,28.7,16.3,22.5,23.64,11.53
300604.SZ,长川科技,专用机械,99.05,98.97,98.94,97.77,97.91,98.2,99.1,99.34,99.21,97.32,97.14,1.06,1.19,1.14,1.51,1.25,2.94,2.33,11.66,14.26,12.9,14.84,10.2,2.04,0.37,0.74,0.21,0.19,0.13,0.11
603893.SH,瑞芯微,半导体,99.02,99.07,99.05,98.38,97.38,97.24,97.67,93.77,91.6,50.13,40.89,12.93,31.32,32.27,51.35,68.65,88.31,89.93,89.45,94.01,93.27,91.76,92.29,86.33,83.68,82.72,70.16,81.16,75.83,86.57
603938.SH,三孚股份,化工原料,98.99,99.66,99.71,99.81,99.74,99.79,99.76,99.87,99.68,99.92,99.92,99.92,99.89,99.89,99.89,99.84,99.66,99.71,99.44,98.49,96.5,91.6,83.02,63.83,63.43,75.91,88.79,88.66,97.48,97.16
603032.SH,*ST德新,公共交通,98.97,99.26,98.91,98.07,97.32,96.87,94.81,95.26,90.14,77.95,76.79,78.99,81.51,83.25,88.53,92.32,95.55,95.73,98.12,98.2,97.14,91.12,90.59,95.71,98.15,97.67,98.78,99.36,99.66,99.76
600306.SH,*ST商城,百货,98.94,98.12,97.06,96.4,96.9,96.5,96.48,94.83,89.45,92.79,87.41,92.02,92.61,93.53,93.03,92.9,88.66,90.51,92.32,94.12,96.48,95.26,95.73,93.93,95.07,91.49,86.78,81.24,87.49,88.95
600696.SH,岩石股份,区域地产,98.91,96.93,95.18,83.2,67.12,48.83,73.18,78.83,91.28,89.83,41.81,82.7,44.17,40.57,12.11,2.89,10.65,9.83,27.95,13.65,18.02,32.11,37.52,70.64,64.12,63.09,49.1,56.73,57.6,64.44
600767.SH,ST运盛,医疗保健,98.89,97.43,93.22,94.62,95.57,95.81,94.36,95.63,94.14,91.34,90.91,87.04,81.96,66.61,60.94,34.63,11.61,16.93,57.15,75.46,88.61,91.04,93.59,93.59,94.81,93.19,95.5,95.65,57.31,93.8
300327.SZ,中颖电子,半导体,98.86,97.72,96.45,95.18,94.52,94.01,87.68,79.44,67.65,28.75,48.49,20.27,16.75,21.04,49.28,37.41,59.46,68.07,64.15,56.2,6.57,45.44,32.8,7.92,5.48,8.06,17.54,40.75,49.63,66.32
002656.SZ,ST摩登,服饰,98.83,99.13,99.15,99.34,99.6,99.71,99.79,99.84,99.6,99.55,99.68,99.76,99.87,99.92,99.84,99.89,99.71,99.79,99.47,99.6,99.89,99.31,98.78,97.8,95.39,88.02,75.01,50.26,78.75,78.22
300505.SZ,川金诺,化工原料,98.81,97.67,97.46,98.46,99.39,99.34,99.21,99.63,99.76,99.68,99.6,99.68,99.76,99.84,99.68,98.91,98.57,98.44,98.28,97.35,95.87,98.07,96.0,91.87,75.15,84.58,80.63,46.32,6.89,3.44
300345.SZ,华民股份,钢加工,98.78,96.87,97.75,97.99,99.44,99.02,94.99,80.15,69.58,74.19,78.35,67.14,82.09,77.58,50.21,33.7,70.06,88.53,81.85,87.39,70.38,87.71,84.84,80.13,28.48,48.09,74.43,60.33,60.31,58.88
002767.SZ,先锋电子,电器仪表,98.75,97.77,98.04,97.59,98.49,97.62,98.07,98.25,97.16,91.6,82.94,21.07,4.8,2.54,1.09,1.11,1.3,4.95,4.11,10.1,8.29,14.81,14.2,13.51,7.84,11.47,3.92,5.64,11.1,23.11
600198.SH,*ST大唐,通信设备,98.73,98.38,97.4,96.34,96.53,94.44,88.61,86.88,78.11,44.75,29.28,11.26,7.31,9.62,46.05,40.22,17.2,29.04,64.31,54.93,32.56,45.92,44.49,23.08,21.36,37.68,40.67,32.7,39.59,59.91
300220.SZ,金运激光,元器件,98.7,97.16,89.06,86.59,89.85,20.83,3.15,2.01,17.36,40.99,25.76,23.74,61.34,74.67,9.96,64.86,72.58,94.57,88.5,86.09,74.54,79.31,84.87,83.84,79.78,87.1,92.66,91.92,90.43,76.55
600146.SH,*ST环球,服饰,98.68,98.7,98.07,98.73,98.6,97.16,96.13,97.85,97.14,96.9,94.3,89.98,90.46,87.68,78.35,86.33,70.46,57.74,43.83,43.3,54.43,43.43,17.65,14.23,7.74,7.42,4.08,3.13,1.48,0.95
000663.SZ,*ST永林,林业,98.65,97.14,95.89,88.9,90.78,89.56,89.32,94.57,85.8,90.7,92.37,94.38,88.77,75.2,44.46,42.16,57.82,32.59,21.2,22.6,20.24,16.03,31.98,28.11,6.31,6.47,6.62,4.03,12.77,6.78
300672.SZ,国科微,半导体,98.62,99.39,99.18,99.44,99.18,99.28,99.05,99.15,99.23,97.91,98.41,98.33,99.6,99.74,99.92,99.63,99.44,98.73,98.49,98.28,97.01,96.32,94.99,87.52,90.33,91.31,97.93,97.72,96.24,96.53
300588.SZ,熙菱信息,软件服务,98.6,99.52,99.68,99.79,99.63,99.47,99.13,97.75,95.92,98.91,96.74,96.71,97.67,98.73,98.33,98.65,99.5,99.34,99.42,92.05,39.9,4.35,4.9,1.85,8.51,2.81,3.68,9.83,5.14,1.06
600699.SH,均胜电子,汽车配件,98.57,98.91,98.89,98.89,98.99,99.18,99.39,99.39,98.89,99.28,99.13,98.91,98.2,98.15,97.62,94.73,70.22,87.41,74.85,55.3,24.01,23.9,45.02,25.99,45.79,21.73,10.55,16.75,30.87,27.61
688396.SH,华润微,半导体,98.54,98.75,98.62,98.25,96.85,95.18,93.51,91.79,85.9,69.42,76.26,19.45,10.2,12.98,22.71,9.99,48.99,45.36,62.75,65.66,55.83,74.99,79.44,68.39,58.51,68.04,60.1,64.28,46.98,65.45
000949.SZ,新乡化纤,化纤,98.52,95.52,96.71,97.03,96.66,97.35,90.14,95.07,94.09,86.06,89.06,79.68,84.45,85.48,84.76,83.36,70.51,14.84,19.69,10.6,9.96,16.3,15.02,19.1,11.84,13.67,22.23,11.0,11.02,31.58
603729.SH,ST龙韵,广告包装,98.49,97.64,97.03,97.51,97.88,96.13,94.38,94.99,93.46,92.71,85.19,88.66,75.15,43.99,10.68,4.66,1.51,2.46,4.35,2.23,3.5,8.82,9.51,3.18,1.78,2.23,2.7,3.02,8.88,5.99
300270.SZ,中威电子,通信设备,98.46,97.59,96.95,96.08,96.82,95.5,94.44,84.66,35.14,13.83,44.59,49.84,56.31,68.76,51.8,69.69,81.11,75.15,57.18,59.54,6.09,18.71,22.79,36.09,39.0,29.7,44.14,61.45,41.65,46.82
300484.SZ,蓝海华腾,电气设备,98.44,96.13,96.29,96.74,96.98,93.85,95.92,96.98,96.03,91.44,88.31,84.37,17.78,6.41,41.04,47.99,73.37,79.99,69.69,81.82,31.11,74.85,78.17,66.56,61.31,78.25,78.88,62.67,65.05,95.97
300035.SZ,中科电气,电气设备,98.41,98.46,98.52,98.54,99.02,99.21,99.02,98.6,98.38,98.33,97.35,98.01,91.47,85.64,85.61,88.0,86.59,56.01,69.95,51.48,69.02,60.1,14.04,11.37,4.0,10.55,9.14,20.99,1.51,1.67
688081.SH,兴图新科,软件服务,98.38,94.86,93.19,93.08,94.75,95.26,94.01,89.24,91.79,90.49,81.53,83.33,94.3,93.96,93.77,94.2,80.87,13.83,21.04,6.76,3.18,14.55,26.76,30.47,14.89,11.39,21.94,29.46,21.04,37.68
300456.SZ,赛微电子,元器件,98.36,98.99,98.83,98.6,95.18,92.13,93.8,90.73,84.68,54.88,66.0,11.39,30.21,39.4,55.27,52.54,66.64,71.62,71.49,80.76,68.44,65.53,63.91,26.52,20.35,73.11,76.05,82.78,81.24,90.22
002119.SZ,康强电子,半导体,98.33,97.62,97.91,96.29,95.47,96.66,96.45,98.52,99.18,99.39,99.44,98.49,98.22,98.94,98.91,99.05,99.52,98.94,98.44,96.48,91.65,95.31,95.79,95.12,92.98,89.4,84.18,63.3,27.4,15.55
300077.SZ,国民技术,半导体,98.3,97.8,98.65,99.26,98.65,98.17,98.41,98.28,99.58,42.29,41.76,47.75,51.03,54.95,99.42,99.92,99.92,99.89,99.81,99.95,99.95,99.95,99.95,99.92,99.66,99.63,99.68,99.66,99.02,56.25
300184.SZ,力源信息,元器件,98.28,96.34,96.79,94.91,95.63,83.12,85.06,65.9,92.18,90.86,84.98,86.04,90.12,59.01,43.8,85.77,82.03,80.87,83.15,85.64,78.99,89.45,88.79,83.55,62.77,69.37,65.9,80.05,42.47,58.56
600599.SH,ST熊猫,多元金融,98.25,97.3,95.52,93.43,92.53,87.04,92.21,94.86,91.97,93.91,88.9,90.51,89.59,88.69,88.13,78.48,63.28,55.91,67.12,44.3,48.68,53.42,66.35,70.67,68.23,74.72,49.95,45.28,58.77,42.47
300117.SZ,嘉寓股份,装修装饰,98.22,91.18,97.16,97.48,97.35,97.03,96.1,97.03,96.66,98.15,96.1,97.46,96.69,96.21,93.32,94.54,84.02,78.4,94.28,84.5,80.6,96.9,94.59,90.91,94.97,92.45,92.4,87.52,88.26,81.29
002895.SZ,川恒股份,化工原料,98.2,98.49,98.49,99.18,99.5,98.86,98.99,99.66,99.66,99.42,99.42,99.47,99.74,98.89,98.62,97.3,98.01,98.52,97.72,98.75,98.07,97.72,93.22,86.3,51.88,69.74,34.05,26.82,5.83,25.38
300526.SZ,中潜股份,专用机械,98.17,99.18,99.6,99.76,99.66,99.74,99.68,99.58,99.36,99.52,98.25,96.87,94.06,90.65,75.7,39.35,60.2,74.62,37.33,1.88,2.33,1.43,0.93,0.61,0.66,1.7,0.77,0.79,0.95,1.11
601117.SH,中国化学,建筑工程,98.15,97.11,97.22,95.28,95.76,94.67,94.7,95.79,90.75,91.12,79.07,86.75,85.35,83.6,81.24,89.35,87.36,87.57,76.29,69.98,78.06,71.49,66.53,77.98,75.49,78.83,84.05,78.06,83.28,92.34
300319.SZ,麦捷科技,元器件,98.12,96.63,96.1,95.89,96.29,95.76,97.46,97.32,90.28,75.38,93.43,86.91,81.82,92.4,94.52,95.57,95.84,96.42,93.69,95.57,89.48,93.16,94.83,93.75,90.83,93.61,67.38,76.95,78.99,79.23
002459.SZ,晶澳科技,电气设备,98.09,98.3,98.09,97.83,97.22,98.73,98.65,96.66,93.06,92.85,95.05,96.48,95.81,90.78,87.52,88.08,94.12,92.95,92.02,85.9,87.25,90.46,92.85,93.38,93.64,92.02,95.07,96.9,97.4,98.15
300325.SZ,*ST德威,塑料,98.07,98.15,99.26,99.71,99.79,99.6,99.47,99.5,98.3,98.01,96.61,97.01,98.7,98.28,98.75,98.2,98.46,98.25,97.09,97.22,89.16,90.81,74.01,52.44,25.2,51.01,42.47,54.19,63.65,57.37
603733.SH,仙鹤股份,造纸,98.04,98.78,97.85,97.56,96.63,96.26,96.26,96.48,96.5,96.4,96.53,96.29,95.79,91.63,92.55,91.6,90.73,86.65,85.72,64.73,74.91,66.27,59.96,22.71,57.21,42.1,31.37,27.69,26.89,18.07
603396.SH,金辰股份,专用机械,98.01,98.62,99.5,99.47,99.26,99.44,99.52,99.44,99.26,99.31,98.78,98.52,99.15,99.28,99.79,99.79,99.6,99.87,99.63,99.36,99.36,99.18,98.44,97.96,98.2,98.38,99.44,99.63,99.74,99.55
601566.SH,九牧王,服饰,97.99,98.83,98.25,99.02,98.97,98.97,98.81,99.13,98.97,98.65,98.62,98.3,97.54,97.88,93.83,88.55,89.53,85.0,87.63,81.98,69.77,26.31,31.61,9.35,12.53,12.43,14.33,13.86,2.94,6.09
002218.SZ,拓日新能,电气设备,97.96,94.36,94.86,94.36,94.25,95.6,94.46,95.18,94.65,94.67,92.69,94.91,95.02,95.42,94.46,95.1,90.33,84.18,72.92,25.15,33.12,78.4,82.14,81.45,82.75,79.97,81.74,75.28,74.06,66.16
300460.SZ,惠伦晶体,元器件,97.93,98.52,98.54,98.65,97.85,98.57,98.33,97.88,97.77,93.67,94.67,91.84,91.94,85.72,86.94,88.05,88.61,87.07,64.63,82.46,73.26,86.67,82.56,66.48,42.34,21.38,19.4,39.53,19.69,51.8
300598.SZ,诚迈科技,软件服务,97.91,92.85,94.81,95.36,87.2,81.53,65.82,4.11,2.86,10.86,5.94,3.68,10.84,2.07,4.11,31.93,65.55,62.93,42.47,58.29,23.34,60.23,66.85,54.66,49.5,59.22,35.88,55.75,40.57,40.65
300219.SZ,鸿利智汇,元器件,97.88,96.95,97.01,96.24,96.79,95.23,92.16,91.12,73.58,57.23,27.8,6.78,9.27,11.13,19.13,84.05,88.02,81.96,77.64,68.68,75.94,82.99,75.68,73.69,69.45,77.48,83.25,85.96,79.15,84.55
603986.SH,兆易创新,半导体,97.85,97.22,96.0,96.61,94.57,96.05,97.03,96.45,96.21,93.99,93.56,86.12,71.3,76.76,70.56,72.31,76.76,84.47,83.84,90.54,84.87,86.57,93.11,83.94,80.5,77.16,65.37,66.03,52.68,63.67
603659.SH,璞泰来,化工原料,97.83,97.88,94.41,94.25,96.26,97.69,98.83,96.85,97.88,95.31,95.68,92.85,78.96,80.37,86.62,90.25,86.49,79.81,77.74,75.15,74.14,64.63,34.08,60.68,34.1,34.66,10.17,53.05,5.35,22.47
600225.SH,*ST松江,区域地产,97.8,95.47,96.69,97.27,96.48,94.75,93.03,91.73,92.95,94.86,95.2,93.22,94.25,96.61,97.38,96.0,95.23,94.75,96.21,94.57,91.41,81.96,69.85,39.67,62.06,77.27,81.77,85.14,88.34,77.24
300582.SZ,英飞特,半导体,97.77,85.61,96.77,98.3,98.07,98.65,98.15,97.24,98.62,98.6,98.73,96.98,97.88,98.68,95.89,93.96,97.38,99.07,99.13,98.97,98.99,99.23,96.66,87.47,88.45,88.98,86.09,81.45,79.76,61.55
603069.SH,海汽集团,公路,97.75,98.57,94.65,86.94,85.16,77.29,28.62,42.0,6.65,1.32,0.72,1.78,6.39,3.13,4.13,4.48,9.35,32.3,22.34,6.36,3.1,1.72,4.37,4.08,1.85,3.29,5.11,5.19,4.64,13.41
600428.SH,中远海特,水运,97.72,98.2,98.99,99.36,99.21,99.23,98.73,97.64,96.61,97.38,96.98,95.68,95.89,97.09,87.12,80.84,89.51,79.86,79.17,58.72,45.2,40.09,9.78,6.04,21.73,9.78,15.39,39.45,37.68,24.72
300708.SZ,聚灿光电,半导体,97.69,98.33,98.36,97.91,98.2,97.48,97.83,96.69,97.43,95.55,82.14,24.8,4.37,2.17,10.97,29.07,48.2,60.76,69.13,87.57,74.8,77.95,82.11,72.5,20.56,34.92,17.09,39.35,25.6,55.46
002245.SZ,蔚蓝锂芯,电气设备,97.67,98.17,98.6,99.13,99.05,99.13,98.94,98.54,98.28,97.85,97.56,96.4,95.92,94.73,94.81,94.59,93.24,93.19,94.33,89.85,90.96,91.84,84.13,61.23,57.45,64.31,54.27,52.65,38.77,49.95
002371.SZ,北方华创,半导体,97.64,96.66,96.53,97.19,97.14,97.91,98.7,98.44,98.57,95.89,96.05,94.78,92.34,94.91,93.56,94.14,96.93,96.77,96.13,96.93,97.56,97.91,98.86,96.53,92.9,94.04,86.3,84.82,80.31,81.21
300727.SZ,润禾材料,化工原料,97.62,96.03,96.74,96.69,96.03,96.37,95.47,96.87,97.48,98.73,94.28,89.22,54.88,8.08,11.16,6.31,67.14,77.87,83.02,19.69,61.84,80.74,83.78,73.24,80.58,80.02,77.87,76.71,85.82,68.23
603290.SH,斯达半导,半导体,97.59,97.35,96.4,96.77,97.62,97.77,98.22,98.17,97.4,95.68,94.99,89.8,85.59,86.62,91.65,95.34,95.5,97.19,96.29,97.96,94.97,96.18,98.6,95.39,87.2,91.6,81.45,78.51,75.91,74.7
000806.SZ,ST银河,生物制药,97.56,96.42,97.8,97.46,96.4,94.12,93.4,92.58,87.36,85.98,77.9,73.98,63.91,55.43,54.69,51.99,23.11,29.6,14.33,15.92,61.08,59.17,38.0,29.62,38.87,23.9,12.75,11.76,3.47,4.61
300305.SZ,裕兴股份,塑料,97.54,95.95,97.14,97.88,98.54,98.3,98.49,98.99,99.02,98.2,97.67,97.35,97.72,97.51,98.17,96.69,92.13,83.52,83.12,70.22,60.41,70.72,68.31,52.2,55.86,68.47,55.99,39.48,24.09,75.54
002760.SZ,凤形股份,机械基件,97.51,96.79,96.85,97.11,97.06,97.8,95.34,96.18,95.71,97.3,96.85,94.86,93.0,97.46,97.14,97.59,99.05,99.31,98.97,99.23,98.78,98.91,98.89,98.89,98.89,98.44,98.6,98.2,95.89,78.35
002464.SZ,*ST众应,互联网,97.48,97.93,97.72,96.95,97.56,97.3,95.39,98.01,97.24,94.49,94.36,94.65,93.51,94.44,93.99,93.48,87.12,87.12,88.61,83.31,87.89,79.6,61.18,39.43,22.52,18.68,23.21,6.62,24.22,55.78
601919.SH,中远海控,水运,97.46,98.6,98.86,98.62,98.41,98.68,97.09,87.84,85.27,88.16,14.1,1.7,1.64,3.5,1.75,1.56,2.04,0.66,0.61,0.45,0.37,0.42,0.24,0.37,0.42,0.29,0.32,0.69,0.53,0.32
600478.SH,科力远,元器件,97.43,97.75,96.42,94.97,95.15,95.73,95.97,97.38,97.03,96.18,95.39,96.66,96.98,91.76,95.36,94.75,94.59,97.01,95.42,93.53,93.43,93.08,88.37,90.2,84.87,87.31,84.31,83.09,87.12,89.67
600110.SH,诺德股份,电气设备,97.4,98.07,99.1,98.44,98.09,96.82,98.2,97.72,98.78,98.36,97.4,98.38,95.36,88.92,93.43,96.16,95.73,95.81,94.73,93.0,91.84,91.55,72.31,73.32,72.92,85.72,87.44,94.78,78.96,75.2
