,NAME,INDUSTRY,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08
300220.SZ,金运激光,元器件,99.74,99.25,99.39,99.35,99.49,99.18,98.74,99.7,99.58,99.04,98.9,99.18,98.62,98.6,97.15,88.94,86.47,90.04,21.42,3.55,2.24,18.01,41.9,26.43,25.38,62.53,75.66,11.69,66.29,73.45,94.7,88.92,86.49,75.36,79.91,85.32,84.23,80.07,87.24,92.74,91.9,90.46,76.6,77.18,73.73,79.72,46.13,44.17,0.4,0.42,0.0,0.07,0.09,0.26,0.3,0.12,0.12,0.16,0.14,0.09,0.16,0.16,0.14,2.82,0.61,0.35,1.17,0.54,17.73,42.98,57.02,37.42,43.77,63.93,64.89,49.44,62.25,82.52,87.73,92.04,90.13,84.48,74.97,8.07,71.56,48.67,41.25,44.63,66.87,43.37,44.56,49.44,48.95,38.15,67.5,79.16,90.13,88.75,91.55,94.14
002346.SZ,柘中股份,电气设备,99.72,99.3,99.6,99.74,99.65,99.77,99.77,99.63,99.65,99.6,99.65,99.72,99.67,99.74,98.6,95.75,93.56,94.82,90.57,79.35,78.84,88.85,76.48,52.73,60.38,39.48,35.91,74.15,75.27,81.61,77.76,74.59,71.49,64.0,86.3,80.91,71.72,73.45,72.56,46.83,20.74,17.48,25.1,52.33,51.1,25.17,73.68,69.48,65.96,56.58,53.41,35.46,66.17,64.49,64.63,89.8,90.25,48.27,40.06,74.08,55.09,86.42,92.91,91.32,88.03,89.59,69.55,79.3,81.94,70.86,51.52,48.13,34.02,50.12,39.31,9.61,9.96,26.27,21.7,14.68,18.43,6.0,1.89,8.66,17.45,17.92,31.12,19.34,17.66,52.47,87.03,88.4,82.22,78.51,72.89,77.48,70.51,64.98,50.09,61.53
605186.SH,健麾信息,医疗保健,99.7,99.53,99.16,99.46,99.46,99.67,99.7,99.74,99.3,99.0,97.57,94.94,88.78,64.98,61.6,60.15,92.56,87.24,95.1,95.8,94.54,96.69,96.94,94.05,93.14,84.67,92.42,83.53,90.97,68.29,66.61,28.28,23.15,25.17,24.87,49.53,17.76,14.58,13.35,21.49,13.02,5.86,19.04,17.17,18.6,20.3,6.11,15.33,7.56,72.89,77.48,91.39,94.61,94.42,90.9,75.76,55.48,43.4,22.47,22.96,55.6,65.73,50.19,58.61,39.5,56.04,56.09,86.35,81.87,45.4,35.74,24.87,18.04,15.52,6.18,6.35,17.27,30.24,20.53,22.98,23.01,37.54,63.28,83.13,89.45,86.37,77.51,37.73,60.08,49.95,87.66,83.92,75.38,80.87,87.47,87.89,89.59,83.85,86.4,83.13
002667.SZ,鞍重股份,工程机械,99.67,99.14,99.63,99.7,98.79,93.51,92.09,93.33,88.38,76.83,53.08,36.7,36.26,10.24,15.1,6.84,30.33,45.92,36.49,61.34,68.29,89.2,87.54,75.71,90.81,95.75,90.46,87.54,93.09,93.19,90.41,88.94,89.76,88.78,82.55,92.65,92.56,94.07,95.33,94.68,97.43,98.09,99.09,99.14,99.46,99.72,99.51,99.58,99.14,99.72,99.72,99.67,99.58,99.53,99.58,98.79,98.74,98.44,96.55,93.12,76.22,53.36,23.78,13.18,3.15,2.92,35.18,79.82,94.82,75.34,75.73,66.61,40.27,32.06,18.62,38.99,6.42,3.48,8.33,5.65,5.74,4.95,4.5,6.56,31.17,3.45,1.59,0.21,0.09,0.23,0.09,0.3,0.7,0.51,0.79,1.82,2.38,2.19,16.38,31.1
000995.SZ,皇台酒业,白酒,99.65,99.49,99.7,99.49,99.7,99.51,99.42,99.23,98.09,97.55,98.04,97.99,94.12,87.42,76.5,37.26,7.07,3.43,3.5,1.1,2.19,3.31,2.15,21.4,3.17,1.96,4.9,10.97,15.89,18.85,8.12,4.34,3.52,8.66,3.52,3.78,12.34,15.1,13.04,19.6,40.76,70.07,79.37,58.68,57.77,68.48,69.51,24.36,33.46,63.11,47.22,73.96,93.28,73.19,81.03,86.96,68.08,39.13,78.16,79.23,77.23,56.23,22.07,25.01,32.64,56.46,40.64,71.91,58.24,59.8,81.59,72.07,39.5,58.35,84.18,74.08,76.13,81.22,48.69,47.13,42.7,47.69,46.45,44.14,19.67,8.28,18.34,13.44,23.12,19.32,13.16,22.24,31.99,23.43,4.88,16.96,8.56,19.67,17.36,14.26
002759.SZ,天际股份,家用电器,99.63,99.67,99.56,98.2,90.85,93.4,96.59,97.9,99.16,98.41,98.32,96.22,97.06,95.33,95.94,93.68,91.16,81.17,88.61,93.44,92.37,95.64,98.16,97.95,99.16,98.16,95.96,94.47,92.07,95.47,96.73,95.8,84.2,70.44,82.29,63.3,39.71,54.76,70.35,36.3,48.2,11.55,1.35,10.43,13.51,22.38,17.83,16.17,11.81,10.62,10.1,5.86,40.15,57.14,15.89,74.66,79.09,76.85,28.07,41.32,8.0,10.69,30.75,17.48,10.94,35.84,81.15,90.67,94.94,89.97,93.37,92.7,82.38,90.81,93.07,76.29,66.82,77.41,80.63,71.58,80.07,89.55,78.44,88.85,89.62,56.39,47.43,20.91,6.74,18.18,3.78,7.96,8.07,6.63,5.86,5.81,3.69,2.64,4.48,14.02
600696.SH,岩石股份,白酒,99.6,99.51,99.77,51.84,99.77,99.84,99.81,99.88,99.93,99.79,99.81,99.07,99.35,98.86,96.87,95.15,83.29,67.85,48.95,72.94,79.02,91.09,89.87,42.65,83.06,46.06,42.91,14.12,3.31,11.83,11.39,30.4,15.05,20.0,33.85,38.73,71.12,64.7,63.81,50.05,57.68,58.33,64.61,57.37,23.43,41.23,79.58,52.66,25.1,27.18,26.34,32.27,37.56,31.05,24.48,22.98,13.11,9.05,14.07,10.29,11.18,3.13,1.24,1.33,1.63,1.77,0.33,0.61,1.28,1.33,1.84,1.45,2.31,2.59,9.75,3.76,7.63,17.15,5.2,11.9,12.3,11.62,9.08,12.6,11.71,20.67,20.91,16.24,19.95,30.28,41.09,44.17,23.24,50.93,65.66,80.14,76.08,81.15,77.65,76.39
300077.SZ,国民技术,半导体,99.58,99.58,99.88,99.88,99.95,99.98,99.88,99.79,99.84,99.77,99.86,99.74,98.65,98.18,97.76,98.65,99.25,98.6,98.11,98.3,98.25,99.58,43.0,42.77,49.6,53.31,56.7,99.42,99.93,99.93,99.91,99.84,99.95,99.95,99.95,99.91,99.91,99.67,99.65,99.7,99.7,98.97,56.67,52.85,48.97,47.36,45.1,91.62,64.91,25.24,16.68,7.82,1.66,0.65,0.12,0.19,0.3,4.34,2.36,7.09,27.3,37.07,78.18,66.99,61.62,83.71,49.23,52.17,23.66,26.06,46.13,64.4,57.23,58.31,53.57,66.71,49.58,66.64,73.85,79.77,17.24,30.35,21.86,63.11,74.87,17.69,30.49,19.86,47.36,56.81,38.1,27.46,24.94,32.64,52.96,54.04,51.73,30.4,31.15,4.27
002280.SZ,联络互动,软件服务,99.56,99.35,99.53,99.79,99.72,99.58,99.58,41.3,98.23,95.36,90.88,78.53,47.29,13.98,13.44,7.7,29.23,30.8,57.12,92.86,98.67,99.16,99.14,97.2,97.46,96.71,97.76,97.32,97.62,97.67,97.46,96.52,96.5,96.69,87.84,89.57,82.43,89.22,77.93,40.99,43.93,22.42,40.9,62.44,45.43,51.07,5.27,17.76,24.99,21.98,29.33,33.83,48.62,68.46,66.19,30.4,53.8,29.21,34.16,43.51,15.66,6.35,5.69,6.81,14.37,7.84,21.42,29.37,15.35,13.56,19.02,14.61,10.94,2.85,4.76,4.76,3.31,7.86,1.89,3.48,2.38,2.24,2.52,1.98,2.36,3.55,3.22,1.05,1.84,3.92,1.7,3.22,3.45,6.44,4.41,4.15,3.99,3.5,4.69,2.96
300340.SZ,科恒股份,电气设备,99.53,99.44,99.35,99.0,98.6,98.16,97.15,97.2,97.62,97.22,95.73,87.75,39.87,65.1,62.97,39.29,69.46,50.05,24.92,87.56,91.9,89.57,89.03,88.54,82.48,73.73,78.23,89.92,86.86,92.67,94.82,91.04,88.87,81.12,86.28,85.84,72.66,72.63,90.85,61.55,85.16,94.12,94.35,95.57,96.24,97.85,96.22,93.77,93.89,94.05,88.99,92.23,94.98,95.05,95.66,90.04,92.81,96.76,70.14,63.07,10.34,5.95,17.5,22.61,9.17,4.46,14.35,35.63,45.19,14.86,20.11,19.02,8.59,4.99,0.75,1.98,1.59,1.28,3.38,4.11,7.16,8.66,5.93,4.5,11.11,19.53,27.76,6.74,5.11,24.85,23.94,36.51,52.12,76.43,88.29,85.28,90.67,81.43,82.1,88.57
600238.SH,海南椰岛,红黄酒,99.51,99.86,99.95,99.95,99.93,99.79,99.84,99.77,99.7,99.35,99.46,98.32,96.97,91.48,95.29,81.73,66.03,22.38,15.26,2.64,2.64,0.93,0.84,3.66,12.02,21.75,43.86,45.66,66.08,57.56,22.05,10.27,10.29,24.27,16.8,11.39,26.74,14.05,11.5,11.08,23.99,31.45,59.57,10.1,1.1,1.07,0.3,0.26,0.28,0.63,0.28,0.72,1.17,0.58,1.45,5.09,1.75,2.8,6.0,6.42,5.86,7.16,1.89,2.64,5.81,6.74,3.78,4.78,3.76,8.45,19.51,10.45,7.23,10.48,51.8,73.24,92.65,91.16,80.61,94.54,94.96,97.64,98.09,98.2,95.15,90.11,96.92,97.13,97.57,95.8,96.27,96.41,95.78,95.38,71.58,32.69,5.3,39.87,39.13,20.63
688005.SH,容百科技,电气设备,99.49,98.86,98.16,96.71,96.73,98.55,97.71,98.41,98.48,98.3,98.83,95.22,87.63,85.98,90.2,92.16,77.65,68.67,93.79,94.89,93.51,96.87,97.22,96.94,95.54,82.34,85.77,84.65,84.27,87.94,83.62,68.6,37.59,80.52,74.15,31.36,50.63,67.92,51.42,41.09,51.68,9.89,4.41,41.97,53.5,72.21,57.02,33.06,14.3,26.97,20.79,40.43,79.49,35.6,16.68,45.61,20.0,28.67,3.94,2.64,0.77,5.3,24.36,7.91,7.68,10.06,22.54,38.52,48.83,11.06,13.91,29.21,7.91,16.89,22.8,16.26,25.64,27.55,26.48,42.86,62.55,51.96,40.41,69.32,60.01,51.61,68.46,33.2,24.99,55.65,48.9,52.94,78.7,73.43,69.23,83.97,83.67,88.61,95.31,95.94
600963.SH,岳阳林纸,造纸,99.46,99.79,98.93,99.37,99.56,99.65,99.32,98.62,96.8,93.26,97.29,97.83,91.51,92.63,54.6,48.39,31.01,39.85,43.28,86.0,77.74,64.37,93.23,91.51,83.97,56.51,22.91,29.65,50.75,55.06,23.03,26.6,27.23,49.49,69.16,69.97,78.39,56.77,65.19,13.0,33.25,43.26,7.82,15.61,20.35,55.2,55.23,43.09,11.95,4.78,6.0,1.47,2.24,2.99,3.71,6.86,3.48,6.18,6.56,22.07,9.68,1.84,2.94,2.17,2.68,1.68,5.18,3.41,5.34,14.63,8.33,24.66,51.52,31.94,38.26,40.01,36.02,54.32,40.81,24.31,22.82,36.05,45.92,26.29,32.57,27.9,51.49,65.17,69.65,74.94,79.79,73.05,15.59,15.21,11.81,12.53,18.11,9.12,23.01,19.74
300530.SZ,*ST达志,化工原料,99.44,99.74,99.91,99.93,99.84,99.86,99.6,97.99,98.93,98.46,98.09,97.69,98.86,54.88,58.52,60.64,55.44,56.6,59.19,13.39,16.15,79.28,12.06,2.61,8.28,5.69,27.02,90.01,84.09,86.16,90.36,91.25,59.5,72.91,62.79,58.49,58.0,56.86,55.74,75.57,87.47,68.13,74.97,86.4,67.22,61.88,71.72,28.88,49.28,78.53,89.94,96.48,97.64,97.43,97.36,97.83,95.31,96.52,94.05,89.85,88.94,93.3,88.89,85.49,87.12,92.67,85.58,89.59,74.01,22.24,11.43,1.03,4.46,5.55,4.6,8.21,21.44,14.56,24.31,42.21,37.49,19.04,8.26,12.46,22.54,16.15,14.37,10.31,22.0,82.76,80.4,94.17,93.63,87.28,82.69,73.73,71.4,74.71,61.78,33.46
300953.SZ,震裕科技,机械基件,99.42,99.21,99.14,98.62,97.15,88.1,89.31,90.06,88.82,73.87,81.54,56.14,47.34,91.53,91.65,93.21,89.55,87.28,91.81,90.62,84.62,88.57,89.15,89.83,81.43,76.15,68.48,52.85,63.67,77.81,85.28,74.9,69.23,16.99,44.75,66.4,67.41,60.94,74.38,62.37,67.78,35.14,18.11,54.71,49.11,57.47,58.52,76.27,62.41,85.21,71.89,84.25,81.08,76.85,54.46,25.41,4.39,6.91,1.4,2.59,1.14,3.03,5.39,2.26,2.54,5.37,9.78,7.98,15.91,3.97,3.36,2.61,2.26,2.82,2.33,2.43,11.53,23.43,17.73,14.14,16.87,51.42,56.37,83.57,90.78,81.8,86.21,71.96,62.32,84.65,95.64,96.24,97.04,98.04,99.49,99.56,99.67,99.72,99.79,99.81
300390.SZ,天华超净,电气设备,99.39,99.39,99.44,98.97,98.62,99.04,98.41,98.32,99.32,99.09,98.97,97.95,96.43,95.26,95.61,94.24,96.43,94.63,96.94,95.78,96.31,98.41,98.13,99.09,98.79,98.67,98.72,98.6,98.51,98.65,97.69,96.06,93.93,95.78,92.53,80.87,75.36,76.32,88.85,89.43,83.25,29.4,15.19,30.35,45.29,49.72,30.8,36.89,24.69,64.35,94.98,96.1,97.39,95.4,96.48,98.93,97.29,98.11,93.42,97.85,98.06,98.3,99.04,98.97,99.18,99.84,99.79,99.6,99.04,96.73,95.24,93.12,93.98,95.01,95.38,93.0,72.24,88.87,94.12,43.42,33.22,86.28,80.52,77.02,72.7,10.99,23.01,19.95,35.49,68.39,43.82,70.86,71.44,78.72,60.78,42.37,68.71,9.03,7.91,36.12
002547.SZ,春兴精工,通信设备,99.37,98.65,98.34,97.29,98.06,97.48,97.69,97.83,97.06,97.27,95.94,93.19,91.67,92.07,88.01,71.93,44.49,10.36,2.89,2.61,1.26,3.8,4.95,10.03,4.97,5.32,6.88,5.6,6.58,5.16,8.35,28.56,45.24,70.86,79.35,70.25,65.07,56.81,58.94,68.71,61.62,42.18,38.1,76.22,83.11,83.41,70.32,82.83,83.74,94.47,94.96,93.49,84.97,62.62,53.64,75.99,68.99,54.76,48.69,39.69,33.57,40.57,58.68,29.16,20.14,24.06,30.91,19.09,23.71,6.28,3.85,5.11,8.98,6.67,11.64,8.24,13.07,21.75,23.19,28.21,37.21,50.05,39.9,34.3,39.78,25.97,26.29,27.32,28.37,31.92,52.15,44.82,33.57,31.99,19.27,65.61,70.07,65.0,64.51,52.24
300624.SZ,万兴科技,软件服务,99.35,99.63,98.32,98.13,98.76,98.72,98.81,95.47,90.34,92.91,91.86,90.74,89.94,84.41,86.65,83.2,85.98,66.01,20.32,19.23,1.66,1.68,6.23,9.66,3.92,2.92,2.64,5.95,8.82,7.14,14.0,8.52,18.27,13.65,27.34,29.02,27.97,14.19,26.85,19.58,22.77,9.71,9.33,5.58,4.25,5.74,4.95,4.92,4.95,6.58,8.28,9.29,4.13,4.04,4.99,1.7,5.48,6.16,5.2,11.39,14.77,18.27,31.61,84.41,58.98,50.96,67.97,81.61,72.98,73.22,67.15,62.95,67.85,87.03,88.71,94.49,88.57,92.58,93.58,91.23,74.17,55.69,32.64,2.99,17.08,45.52,21.89,11.57,29.58,19.95,21.09,30.21,28.07,14.23,13.67,13.56,20.63,15.54,35.6,27.74
002326.SZ,永太科技,化工原料,99.32,99.6,98.86,98.53,98.46,98.86,99.35,99.53,99.42,99.07,99.07,99.23,98.93,99.51,99.23,99.46,98.95,97.46,98.39,98.18,97.9,96.9,98.53,98.23,97.69,98.37,95.24,92.63,95.26,97.6,95.96,94.66,92.11,75.69,84.27,78.02,86.79,96.08,96.99,97.67,96.9,92.32,94.05,98.51,99.3,98.48,98.55,99.28,98.9,99.18,99.53,99.58,99.88,99.86,99.81,99.84,99.58,98.79,98.79,98.69,99.09,99.11,99.32,98.67,98.23,99.53,99.7,99.32,99.49,98.41,98.06,97.06,97.32,97.64,97.06,94.7,91.27,93.82,92.72,77.76,40.81,90.85,82.71,86.65,89.52,72.98,88.89,91.83,85.25,96.9,96.62,97.15,94.49,95.57,95.99,96.1,98.09,92.74,87.77,95.85
300268.SZ,佳沃食品,农业综合,99.3,98.9,99.3,99.6,98.9,98.69,98.46,97.46,90.48,73.59,60.1,33.76,30.77,25.38,11.27,24.66,15.94,85.79,78.77,79.37,88.54,90.43,83.64,70.44,79.65,67.2,79.02,66.38,74.87,65.68,61.34,14.98,1.61,1.54,6.88,10.24,15.63,1.66,4.2,1.87,0.75,0.86,11.57,6.32,7.63,14.91,8.89,9.66,6.25,4.55,8.59,15.0,17.45,52.36,51.07,30.12,54.48,59.29,66.31,83.81,96.57,93.44,65.47,71.68,70.72,75.99,78.25,84.02,84.81,93.44,93.86,83.97,89.78,87.12,93.82,94.03,95.5,94.38,94.59,84.09,38.78,58.19,91.58,94.54,98.67,98.09,97.69,97.88,98.97,95.47,95.31,99.28,98.09,97.15,88.03,93.12,93.82,94.26,91.48,89.08
